Episode,Average Reward,Average Loss,Total Lines sent
339,-3.6901041666666656,8.943881505693449,5
340,-5.517213114754096,26.875366548665745,16
341,-2.2658119658119653,18.005074203504414,13
342,-6.773214285714286,62.47762476769276,3
343,-4.848456790123457,18.1725431259802,17
344,-3.3407142857142853,14.184648824629507,0
345,-3.2083892617449656,9.84264226192796,11
346,-2.23918918918919,22.700543895220125,11
347,-3.3081730769230777,25.958725817837358,6
348,-4.364864864864866,14.585513266256532,2
349,-4.422727272727271,12.496401783639818,3
350,-2.618095238095238,25.025375182219292,10
351,-4.70820895522388,16.216165065379865,5
352,-2.622189349112427,16.93236442955387,16
353,-4.042460317460319,81.74654251959429,12
354,-3.9650000000000003,196.9978833731128,4
355,-4.251773049645388,25.6133141927289,12
356,-3.8241935483870946,19.604827277490028,11
357,-4.409693877551019,17.49725734054382,7
358,-4.0378504672897195,22.04223722184434,10
359,-5.368518518518518,22.641898746291798,5
360,-3.6023809523809507,12.473213032047664,5
361,-3.4431654676258985,15.45080326959866,9
362,-3.9359375,24.436157637712313,11
363,-2.8357594936708868,14.070511784062639,13
364,-1.9329268292682926,21.049290369384746,23
365,-3.73739837398374,19.14840271002878,9
366,-3.5735294117647074,18.089384998738584,8
367,-6.476190476190476,13.591797896246943,2
368,-5.414963503649635,35.82583197882785,14
369,-4.612755102040814,14.720045159494846,5
370,-5.113988095238096,18.178661586463846,23
371,-2.905063291139239,8.865673062493995,3
372,-3.3159509202453994,15.783407697854763,28
373,-3.54245283018868,6.883749607402785,14
374,-5.142628205128209,9.649015628339653,12
375,-3.5652941176470585,7.446687527207028,5
376,-4.3182758620689645,7.48157104004881,16
377,-3.2188172043010748,10.738659795870008,5
378,-4.847222222222223,5.634312748293687,14
379,-3.2600000000000002,13.127306270723542,11
380,-1.7676646706586825,10.053606039999732,15
381,-1.5822085889570554,7.954076789325229,23
382,-4.0027027027027025,9.776485754671002,6
383,-0.922560975609756,15.207110857639746,19
384,-5.247272727272727,12.40586438516938,0
385,-3.8772727272727274,8.268922000674701,1
386,-3.525748502994012,25.086451864753943,18
387,-2.3201923076923077,13.209780708003867,18
388,-3.754639175257732,8.904016971602537,8
389,-5.252358490566037,13.827698210094516,10
390,-4.3928571428571415,8.152228547931216,10
391,-4.756343283582091,29.78576403754805,17
392,-2.0336257309941526,15.553690804959661,21
393,-3.382894736842105,11.909524893682255,5
394,-3.113934426229509,24.397918934781583,9
395,-3.238333333333333,7.209056084758291,2
396,-5.0169565217391305,10.723072234383258,12
397,-1.958841463414634,17.052827534776554,24
398,-3.9247619047619056,9.34589267791127,7
399,-3.096428571428571,10.060596209918618,23
400,-6.01293103448276,9.976188120256571,3
401,-3.5484042553191486,6.161385886661555,7
402,-3.440458015267175,10.799269804846539,12
403,-3.6689075630252095,12.33461859839491,8
404,-4.30049504950495,5.451231287316002,9
405,-2.8737179487179487,11.420805087653347,3
406,-4.500980392156863,11.21241315727949,11
407,-3.366666666666668,8.020756321064525,8
408,-2.2553571428571435,18.650713246556865,6
409,-4.394845360824743,11.031547394213892,7
410,-5.067692307692309,17.73960088428777,3
411,-3.615413533834586,14.278426842976828,18
412,-2.849999999999998,15.542545452312133,10
413,-3.434,6.284591587320901,2
414,-3.4514563106796103,6.856195027557952,3
415,-4.017647058823529,17.522898762973224,8
416,-3.355828220858896,13.975852348261792,19
417,-4.003629032258064,9.015177564947084,11
418,-2.248795180722892,5.423622190509958,24
419,-3.773181818181819,7.870334499096498,9
420,-2.675,6.7086255086986055,19
421,-3.7453125,9.427293447516423,26
422,-5.123626373626374,6.620000375826219,6
423,-3.5921686746987964,13.207230655999618,17
